order,#,test,bird,block,area,perimeter,height,width,areaMM,perimeterMM,heightMM,widthMM
1,1,KnownSizes,rectangles,B0,8922141,12100,2547,3507,64077.42746,1025.423729,215.8474576,297.2033898
2,2,KnownSizes,rectangles,B0,44249.5,847.639609,176,252,317.7930192,71.83386517,14.91525424,21.3559322
3,3,KnownSizes,rectangles,B0,39444,826.0243852,171,247,283.2806665,70.00206654,14.49152542,20.93220339
4,4,KnownSizes,rectangles,B0,109212.5,1564.267026,183,599,784.3471704,132.5650022,15.50847458,50.76271186
5,5,KnownSizes,rectangles,B0,100273.5,1539.580734,168,608,720.1486642,130.4729436,14.23728814,51.52542373
6,6,KnownSizes,rectangles,B0,445327,2731.88225,824,543,3198.269176,231.5154449,69.83050847,46.01694915
7,7,KnownSizes,rectangles,B0,429260.5,2721.865005,820,524,3082.882074,230.6665258,69.49152542,44.40677966
8,8,KnownSizes,rectangles,B0,841369.5,3838.173661,734,1164,6042.584746,325.2689543,62.20338983,98.6440678
9,9,KnownSizes,rectangles,B0,819391,3846.239676,683,1158,5884.738581,325.9525149,57.88135593,98.13559322
10,10,KnownSizes,rectangles,B0,86357.5,1190.811182,246,363,620.2061189,100.9162018,20.84745763,30.76271186
11,11,KnownSizes,rectangles,B0,79490.5,1174.409161,231,358,570.8883941,99.5262001,19.57627119,30.33898305
12,12,KnownSizes,rectangles,B0,31826.5,744.6690463,248,131,228.5729675,63.1075463,21.01694915,11.10169492
13,13,KnownSizes,rectangles,B0,27595,722.7106769,232,119,198.1829934,61.24666753,19.66101695,10.08474576
14,14,KnownSizes,rectangles,B0,173939.5,1682.811182,360,487,1249.206406,142.6111171,30.50847458,41.27118644
15,15,KnownSizes,rectangles,B0,164179,1670.793937,349,477,1179.108015,141.5927065,29.57627119,40.42372881
16,16,KnownSizes,rectangles,B0,303614,2402.994947,839,369,2180.508475,203.6436396,71.10169492,31.27118644
17,17,KnownSizes,rectangles,B0,289802,2423.872145,818,360,2081.312841,205.4128937,69.3220339,30.50847458
18,18,KnownSizes,rectangles,B0,355190.5,2391.722869,602,596,2550.922867,202.6883788,51.01694915,50.50847458
19,19,KnownSizes,rectangles,B0,341385.5,2379.462984,579,602,2451.777506,201.6494054,49.06779661,51.01694915
20,20,KnownSizes,rectangles,B0,432584,2651.480229,729,604,3106.750934,224.7017143,61.77966102,51.18644068
21,21,KnownSizes,rectangles,B0,417202,2632.592927,710,583,2996.279805,223.1010955,60.16949153,49.40677966
22,1,KnownSizes,three,B0,8922131.5,12098.24264,3503,2547,64077.35924,1025.2748,296.8644068,215.8474576
23,2,KnownSizes,three,B0,53652,953.3380936,190,286,385.3203103,80.79136387,16.10169492,24.23728814
24,3,KnownSizes,three,B0,48869.5,955.462984,183,277,350.9731399,80.97143932,15.50847458,23.47457627
25,4,KnownSizes,three,B0,180787,1703.480229,436,409,1298.384085,144.3627313,36.94915254,34.66101695
26,5,KnownSizes,three,B0,171280,1745.126978,430,403,1230.106291,147.8921168,36.44067797,34.15254237
27,6,KnownSizes,three,B0,349571.5,2434.977703,730,491,2510.568084,206.3540426,61.86440678,41.61016949
28,7,KnownSizes,three,B0,337104,2510.205186,716,495,2421.02844,212.7292531,60.6779661,41.94915254
29,1,KnownSizes,three,B1,8922141,12100,2547,3507,64077.42746,1025.423729,215.8474576,297.2033898
30,2,KnownSizes,three,B1,62093,1015.338094,308,208,445.942258,86.04560115,26.10169492,17.62711864
31,3,KnownSizes,three,B1,56604.5,985.4385986,299,195,406.5247055,83.51174565,25.33898305,16.52542373
32,4,KnownSizes,three,B1,182340,1729.421354,436,419,1309.537489,146.5611317,36.94915254,35.50847458
33,5,KnownSizes,three,B1,173481.5,1740.859952,429,425,1245.917122,147.5305044,36.3559322,36.01694915
34,6,KnownSizes,three,B1,422647.5,2672.693432,793,543,3035.388538,226.4994434,67.20338983,46.01694915
35,7,KnownSizes,three,B1,408642.5,2757.903671,787,529,2934.806808,233.7206501,66.69491525,44.83050847
36,1,KnownSizes,three,B2,8921903,12110.91169,3498,2546,64075.71818,1026.348448,296.440678,215.7627119
37,2,KnownSizes,three,B2,54061,957.3380933,195,288,388.2576846,81.13034689,16.52542373,24.40677966
38,3,KnownSizes,three,B2,49183.5,955.3208486,184,278,353.228239,80.95939395,15.59322034,23.55932203
39,4,KnownSizes,three,B2,181187.5,1707.379723,443,417,1301.260414,144.6931969,37.54237288,35.33898305
40,5,KnownSizes,three,B2,171857,1728.842708,432,405,1234.250215,146.5120939,36.61016949,34.3220339
41,6,KnownSizes,three,B2,350256.5,2442.776692,729,491,2515.487647,207.0149739,61.77966102,41.61016949
42,7,KnownSizes,three,B2,337681.5,2472.825463,717,482,2425.175955,209.5614799,60.76271186,40.84745763
43,1,KnownSizes,three,B4,8921903,12110.91169,3498,2546,64075.71818,1026.348448,296.440678,215.7627119
44,2,KnownSizes,three,B4,54061,957.3380933,195,288,388.2576846,81.13034689,16.52542373,24.40677966
45,3,KnownSizes,three,B4,49183.5,955.3208486,184,278,353.228239,80.95939395,15.59322034,23.55932203
46,4,KnownSizes,three,B4,181187.5,1707.379723,443,417,1301.260414,144.6931969,37.54237288,35.33898305
47,5,KnownSizes,three,B4,171857,1728.842708,432,405,1234.250215,146.5120939,36.61016949,34.3220339
48,6,KnownSizes,three,B4,350256.5,2442.776692,729,491,2515.487647,207.0149739,61.77966102,41.61016949
49,7,KnownSizes,three,B4,337681.5,2472.825463,717,482,2425.175955,209.5614799,60.76271186,40.84745763
