order,#,test,bird,block,area,perimeter,height,width,areaMM,perimeterMM,heightMM,widthMM
1,1,Size1,Anton,B1,79615.5,1593.584908,309,434,571.7861247,135.0495685,26.18644068,36.77966102
2,2,Size1,Anton,B1,43996,1057.837654,383,170,315.9724217,89.64725879,32.45762712,14.40677966
3,3,Size1,Anton,B1,35085.5,947.1686075,290,197,251.9785981,80.26852606,24.57627119,16.69491525
4,4,Size1,Anton,B1,279449,3739.184098,357,1520,2006.959207,316.8800083,30.25423729,128.8135593
5,5,Size1,Anton,B1,57458.5,1100.732097,149,345,412.6580006,93.2823811,12.62711864,29.23728814
6,6,Size1,Anton,B1,639120,4500.757693,477,1944,4590.060327,381.4201435,40.42372881,164.7457627
7,1,Size1,Anton,B2,73634,1293.744289,413,240,528.827923,109.6393465,35,20.33898305
8,2,Size1,Anton,B2,77590,1309.401143,237,393,557.2392991,110.9661985,20.08474576,33.30508475
9,3,Size1,Anton,B2,517973.5,4358.015489,349,1842,3720.005027,369.3233466,29.57627119,156.1016949
10,1,Size1,Anton,B3,791770.5,4619.731219,1871,544,5686.37245,391.5026457,158.559322,46.10169492
11,2,Size1,Anton,B3,522148,4533.399388,1807,497,3749.985636,384.1863888,153.1355932,42.11864407
12,3,Size1,Anton,B3,81577,1539.259009,638,229,585.8733123,130.4456787,54.06779661,19.40677966
13,4,Size1,Anton,B3,98913,1863.910809,192,604,710.377765,157.9585432,16.27118644,51.18644068
14,5,Size1,Anton,B3,65750,1269.695519,504,180,472.2062626,107.6013151,42.71186441,15.25423729
15,6,Size1,Anton,B3,160204.5,2459.88346,437,778,1150.563775,208.4647,37.03389831,65.93220339
16,7,Size1,Anton,B3,339453,2729.248901,710,740,2437.898592,231.2922797,60.16949153,62.71186441
17,1,Size1,Anton,B4,164981,1803.969685,561,384,1184.867854,152.8787868,47.54237288,32.54237288
18,2,Size1,Anton,B4,326687,3274.507912,1467,278,2346.215168,277.5006705,124.3220339,23.55932203
19,3,Size1,Anton,B4,193703,2273.768675,878,262,1391.144786,192.6922606,74.40677966,22.20338983
20,4,Size1,Anton,B4,354007,3236.792181,673,907,2542.423154,274.3044221,57.03389831,76.86440678
21,1,Size1,Azzuro,B1,200986,2074.940247,378,765,1443.450158,175.8423938,32.03389831,64.83050847
22,2,Size1,Azzuro,B1,45423,961.1513633,114,96,326.2209135,81.45350536,9.661016949,8.13559322
23,3,Size1,Azzuro,B1,249935,2424.655977,920,349,1794.994255,205.4793201,77.96610169,29.57627119
24,4,Size1,Azzuro,B1,322656.5,4002.553717,401,1649,2317.268745,339.1994675,33.98305085,139.7457627
25,1,Size1,Azzuro,B2,37576.5,1001.109733,158,364,269.8685722,84.83980786,13.38983051,30.84745763
